expected_program,synthesized_program,correct,operation_type,arity,composition_depth,s_k,s_t,s_e,distance,total_time_ms
first,min,False,access,1,1,0.04,0.1,0.18,0.12369316876852982,0.0
last,max,False,access,1,1,0.03,0.1,0.18,0.14317821063276354,0.0
second,sort_desc,False,access,1,1,0.5,0.2,0.3,0.36728735344413915,0.0
sum,sum,True,aggregation,1,1,0.01,0.1,0.15,0.0,1.016855239868164
product,product,True,aggregation,1,1,0.02,0.1,0.2,0.0,0.0
max,max,True,aggregation,1,1,0.03,0.1,0.18,0.0,0.0
min,min,True,aggregation,1,1,0.04,0.1,0.18,0.0,1.0151863098144531
mean,sort_desc,False,aggregation,1,1,0.5,0.2,0.3,0.45552167895721496,0.0
length,length,True,aggregation,1,1,0.06,0.1,0.1,0.0,1.0159015655517578
range,sort_desc,False,aggregation,1,1,0.5,0.2,0.3,0.4062019202317981,0.0
add,add,True,arithmetic,2,1,0.51,0.1,0.15,0.0,0.0
subtract,subtract,True,arithmetic,2,1,0.52,0.1,0.15,0.0,1.01470947265625
multiply,multiply,True,arithmetic,2,1,0.53,0.1,0.15,0.0,0.0
divide,sort_desc,False,arithmetic,2,1,0.5,0.2,0.3,0.14696938456699069,0.0
sum_of_squares,sum_of_squares,True,composition,1,2,0.71,0.35,0.45,0.0,0.0
sum_of_doubled,sum_of_doubled,True,composition,1,2,0.72,0.35,0.4,0.0,1.0154247283935547
sum_positive,sort_desc,False,composition,1,2,0.5,0.2,0.3,0.3128897569432403,0.0
sum_even,sort_desc,False,composition,1,2,0.5,0.2,0.3,0.32031234756093935,1.0161399841308594
max_of_two,max_of_two,True,conditional,2,1,0.61,0.15,0.25,0.0,0.0
min_of_two,min_of_two,True,conditional,2,1,0.62,0.15,0.25,0.0,0.0
abs_single,sort_desc,False,conditional,1,1,0.5,0.2,0.3,0.17146428199482247,0.0
sign,sort_desc,False,conditional,1,1,0.5,0.2,0.3,0.14,0.0
factorial,sort_desc,False,recursive,1,3,0.5,0.2,0.3,0.6705221845696083,0.0
fibonacci,sort_desc,False,recursive,1,4,0.5,0.2,0.3,0.7361385739111896,0.0
sum_recursive,sum,False,recursive,1,3,0.01,0.1,0.15,1.1442901729893515,1.2891292572021484
double_all,double_all,True,transformation,1,1,0.31,0.2,0.3,0.0,0.0
square_all,square_all,True,transformation,1,1,0.32,0.2,0.3,0.0,0.0
negate_all,negate_all,True,transformation,1,1,0.33,0.2,0.3,0.0,0.0
filter_positive,filter_positive,True,transformation,1,1,0.36,0.25,0.35,0.0,0.0
filter_even,filter_even,True,transformation,1,1,0.38,0.25,0.35,0.0,0.0
reverse,reverse,True,transformation,1,1,0.4,0.15,0.2,0.0,0.0
sort_asc,sort_asc,True,transformation,1,1,0.41,0.2,0.25,0.0,0.0
