expected_program,synthesized_program,correct,operation_type,arity,composition_depth,s_k,s_t,s_e,distance,total_time_ms
first,mean,False,access,1,1,0.04,0.1,0.3,0.19209372712298547,1.0204315185546875
last,mean,False,access,1,1,0.03,0.1,0.3,0.2051828452868319,0.0
second,,False,access,1,1,0.5,0.1,0.5,0.474236228055175,1.0199546813964844
sum,mean,False,aggregation,1,1,0.01,0.1,0.3,0.15,0.0
product,mean,False,aggregation,1,1,0.02,0.1,0.3,0.09999999999999998,1.0225772857666016
max,mean,False,aggregation,1,1,0.03,0.1,0.3,0.12,1.1608600616455078
min,mean,False,aggregation,1,1,0.04,0.1,0.3,0.12,0.0
mean,,False,aggregation,1,1,0.5,0.1,0.5,0.51720402163943,1.0182857513427734
length,min,False,aggregation,1,1,0.06,0.1,0.2,0.1,0.0
range,,False,aggregation,1,1,0.5,0.1,0.5,0.45276925690687087,1.016855239868164
add,divide,False,arithmetic,2,1,0.51,0.1,0.2,0.05000000000000002,0.0
subtract,divide,False,arithmetic,2,1,0.52,0.1,0.2,0.05000000000000002,0.0
multiply,divide,False,arithmetic,2,1,0.53,0.1,0.3,0.15,0.0
divide,,False,arithmetic,2,1,0.5,0.1,0.5,0.3026549190084311,1.0149478912353516
sum_of_squares,,False,composition,1,2,0.71,0.35,0.7,0.24999999999999994,0.0
sum_of_doubled,sum_of_squares,False,composition,1,2,0.72,0.35,0.5,0.09999999999999998,1.1341571807861328
sum_positive,,False,composition,1,2,0.5,0.1,0.5,0.3433656942677879,0.0
sum_even,,False,composition,1,2,0.5,0.1,0.5,0.3501428280002319,1.2459754943847656
max_of_two,,False,conditional,2,1,0.61,0.1,0.5,0.25495097567963926,0.9973049163818359
min_of_two,,False,conditional,2,1,0.62,0.1,0.5,0.25495097567963926,0.0
abs_single,,False,conditional,1,1,0.5,0.1,0.5,0.33075670817082453,0.9970664978027344
sign,,False,conditional,1,1,0.5,0.1,0.5,0.2638181191654584,0.0
factorial,,False,recursive,1,3,0.5,0.1,0.5,0.6477653896280658,0.0
fibonacci,,False,recursive,1,4,0.5,0.1,0.5,0.7084490101623405,0.0
sum_recursive,mean,False,recursive,1,3,0.01,0.1,0.3,1.0802314566795395,1.2485980987548828
double_all,,False,transformation,1,1,0.5,0.1,0.5,0.2934280150224242,0.0
square_all,,False,transformation,1,1,0.5,0.1,0.5,0.2870540018881465,0.0
negate_all,,False,transformation,1,1,0.5,0.1,0.5,0.28089143810376277,1.007080078125
filter_positive,,False,transformation,1,1,0.4,0.1,0.5,0.21587033144922904,0.0
filter_even,,False,transformation,1,1,0.5,0.1,0.5,0.24372115213907883,0.0
reverse,,False,transformation,1,1,0.4,0.1,0.5,0.30413812651491096,1.1703968048095703
sort_asc,,False,transformation,1,1,0.4,0.1,0.5,0.2694438717061496,0.0
